One_of_top_3_CPC_for_PC,CPC Description,Device Type (PC) Description,PRODUCTCODE
A61B5/14532,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Measuring characteristics of blood in vivo, e.g. gas concentration, pH value; {Measuring characteristics of body fluids or tissues, e.g. interstitial fluid, cerebral tissue}(measuring of blood pressure or blood flow A61B5/02; non-radiation detecting or locating of foreign bodies in blood A61B5/06)-- ..for measuring glucose, e.g. by tissue impedance measurement","Powered patient transfer device. --Device, Patient Transfer, Powered",FRZ
G16H40/63,"PHYSICS-- INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS-- HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA-- ICT specially adapted for the management or administration of healthcare resources or facilities; ICT specially adapted for the management or operation of medical equipment or devices-- .for the operation of medical equipment or devices-- ..for local operation","Powered patient transfer device. --Device, Patient Transfer, Powered",FRZ
G16H40/67,"PHYSICS-- INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR SPECIFIC APPLICATION FIELDS-- HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA-- ICT specially adapted for the management or administration of healthcare resources or facilities; ICT specially adapted for the management or operation of medical equipment or devices-- .for the operation of medical equipment or devices-- ..for remote operation","Powered patient transfer device. --Device, Patient Transfer, Powered",FRZ
A61B7/04,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Instruments for auscultation-- .Stethoscopes {acoustic details thereof G10K11/00}-- ..Electric stethoscopes (microphones, acoustic transducers therefor H04R)",Phonocardiograph. --Phonocardiograph,DQC
A61B5/349,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recording bioelectric or biomagnetic signals of the body or parts thereof-- ..Modalities, i.e. specific diagnostic methods-- ...Heart-related electrical modalities, e.g. electrocardiography [ECG]-- ....Analysis of electrocardiograms-- .....Detecting specific parameters of the electrocardiograph cycle",Phonocardiograph. --Phonocardiograph,DQC
A61B5/318,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recording bioelectric or biomagnetic signals of the body or parts thereof-- ..Modalities, i.e. specific diagnostic methods-- ...Heart-related electrical modalities, e.g. electrocardiography [ECG]",Phonocardiograph. --Phonocardiograph,DQC
A61G5/1043,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Ambulance service; Stretchers-- Chairs or personal conveyances specially adapted for patients or disabled persons, e.g. wheelchairs (chairs with toilet conveniences A47K11/04; ;  devices enabling patients or disabled persons to operate an apparatus or device not forming part of the body A61F4/00; {running gear or propulsion features B60K;};  bicycles specially adapted for disabled riders B62K3/16{; Invalid chairs having removable seats specially adapted to be transferred with the invalid to a vehicle and support the invalid during use of the vehicle A61G3/02})-- .Parts, details or accessories-- ..Cushions specially adapted for wheelchairs","Flotation cushion. --Cushion, Flotation",KIC
A61G5/1045,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Ambulance service; Stretchers-- Chairs or personal conveyances specially adapted for patients or disabled persons, e.g. wheelchairs (chairs with toilet conveniences A47K11/04; ;  devices enabling patients or disabled persons to operate an apparatus or device not forming part of the body A61F4/00; {running gear or propulsion features B60K;};  bicycles specially adapted for disabled riders B62K3/16{; Invalid chairs having removable seats specially adapted to be transferred with the invalid to a vehicle and support the invalid during use of the vehicle A61G3/02})-- .Parts, details or accessories-- ..Cushions specially adapted for wheelchairs-- ...for the seat portion","Flotation cushion. --Cushion, Flotation",KIC
Y10S297/04,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS; GENERAL TAGGING OF CROSS-SECTIONAL TECHNOLOGIES SPANNING OVER SEVERAL SECTIONS OF THE IPC; TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS-- TECHNICAL SUBJECTS COVERED BY FORMER USPC-- TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS-- Chairs and seats; Chairs and seats-- .Wheelchair,"Flotation cushion. --Cushion, Flotation",KIC
A61B6/502,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Apparatus for radiation diagnosis, e.g. combined with radiation therapy equipment (instruments measuring radiation intensity for application in the field of nuclear medicine, e.g. in vivo counting, G01T1/161; apparatus for taking X-ray photographs G03B42/02)-- .Clinical applications (dentistry A61B6/14 takes precedence)-- ..involving diagnosis of breast, i.e. mammography","Diagnostic x-ray tube mount. --Tube Mount, X-Ray, Diagnostic",IYB
G06T2207/30068,"PHYSICS-- INSTRUMENTS; MEASURING; TESTING-- COMPUTING; CALCULATING; COUNTING-- IMAGE DATA PROCESSING OR GENERATION, IN GENERAL-- Indexing scheme for image analysis or image enhancement-- .Subject of image; Context of image processing-- ..Biomedical image processing-- ...Mammography; Breast","Diagnostic x-ray tube mount. --Tube Mount, X-Ray, Diagnostic",IYB
A61B10/0233,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Other methods or instruments for diagnosis, e.g. instruments for taking a cell sample, for biopsy, for vaccination diagnosis (vaccination prophylaxis, vaccination therapy A61B17/20); Sex determination; Ovulation-period determination (menstruation tables G06C3/00); Throat striking implements-- .Instruments for taking cell samples or for biopsy {A61B10/0038 and A61B10/0045 take precedence; needle locating or guiding means A61B17/3403; samplers for enzymology or microbiology C12M1/26; sampling or preparing biological specimens G01N33/48}-- ..Pointed or sharp biopsy instruments","Diagnostic x-ray tube mount. --Tube Mount, X-Ray, Diagnostic",IYB
A61J1/2096,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE-- Containers specially adapted for medical or pharmaceutical purposes (capsules or the like for oral use A61J3/07; specially adapted for surgical or diagnostic appliances or instruments A61B50/00; {antithrombogenic treatment of articles for conditioning blood A61L33/00; devices for introducing media into or onto the body A61M;};  containers for radioactive substances G21F5/00)-- .for collecting, storing or administering blood, plasma or medical fluids {multiple bags systems for separating or storing blood components A61M1/0209; ; Infusion or perfusion containers}-- ..Details {, e.g. provisions for hanging or shape retaining means}; Accessories therefor {, e.g. inlet or outlet ports, filters or caps}(A61J7/00 takes precedence; {plugs or stoppers B65D51/00;};  openers B65D, B67B7/00)-- ...Arrangements for transferring {or mixing};  fluids, e.g. from vial to syringe-- ....Combination of a vial and a syringe for transferring or mixing their contents","Pressure regulator. --Regulator, Pressure, Gas Cylinder",CAN
A61J1/201,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE-- Containers specially adapted for medical or pharmaceutical purposes (capsules or the like for oral use A61J3/07; specially adapted for surgical or diagnostic appliances or instruments A61B50/00; {antithrombogenic treatment of articles for conditioning blood A61L33/00; devices for introducing media into or onto the body A61M;};  containers for radioactive substances G21F5/00)-- .for collecting, storing or administering blood, plasma or medical fluids {multiple bags systems for separating or storing blood components A61M1/0209; ; Infusion or perfusion containers}-- ..Details {, e.g. provisions for hanging or shape retaining means}; Accessories therefor {, e.g. inlet or outlet ports, filters or caps}(A61J7/00 takes precedence; {plugs or stoppers B65D51/00;};  openers B65D, B67B7/00)-- ...Arrangements for transferring {or mixing};  fluids, e.g. from vial to syringe-- ....Accessories used in combination with means for transfer or mixing of fluids, e.g. for activating fluid flow, separating fluids, filtering fluid or venting-- .....Piercing means-- ......having one piercing end","Pressure regulator. --Regulator, Pressure, Gas Cylinder",CAN
Y10T29/49826,GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS; GENERAL TAGGING OF CROSS-SECTIONAL TECHNOLOGIES SPANNING OVER SEVERAL SECTIONS OF THE IPC; TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS-- TECHNICAL SUBJECTS COVERED BY FORMER USPC-- TECHNICAL SUBJECTS COVERED BY FORMER US CLASSIFICATION-- Former US Class 29 Series; Metal working-- .Method of mechanical manufacture-- ..Assembling or joining,"Pressure regulator. --Regulator, Pressure, Gas Cylinder",CAN
G06T7/0012,"PHYSICS-- INSTRUMENTS; MEASURING; TESTING-- COMPUTING; CALCULATING; COUNTING-- IMAGE DATA PROCESSING OR GENERATION, IN GENERAL-- Image analysis-- .Inspection of images, e.g. flaw detection-- ..Biomedical image inspection","Radiologic table. --Table, Radiographic, Stationary Top",IXQ
A61B5/055,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Detecting, measuring or recordingfor diagnosis by means of electric currents or magnetic fields; Measuring using microwaves or radio waves (impedance plethysmographyA61B5/0295; measuring movement of the entire body or parts thereofA61B5/11; detecting, measuring or recording bioelectric orbiomagneticsignals of the body or parts thereofA61B5/24)-- ..involving electronic [EMR] or nuclear [NMR] magnetic resonance, e.g. magnetic resonance imaging","Radiologic table. --Table, Radiographic, Stationary Top",IXQ
G06T2207/10081,"PHYSICS-- INSTRUMENTS; MEASURING; TESTING-- COMPUTING; CALCULATING; COUNTING-- IMAGE DATA PROCESSING OR GENERATION, IN GENERAL-- Indexing scheme for image analysis or image enhancement-- .Image acquisition modality-- ..Tomographic images-- ...Computed x-ray tomography [CT]","Radiologic table. --Table, Radiographic, Stationary Top",IXQ
A61K38/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing peptides (peptides containing beta-lactam rings A61K31/00; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, A61K31/00; ergot alkaloids of the cyclic peptide type A61K31/48; containing macromolecular compounds having statistically distributed amino acid units A61K31/74; medicinal preparations containing antigens or antibodies A61K39/00; medicinal preparations characterised by the non-active ingredients, e.g. peptides as drug carriers, A61K47/00)","Total protein test system. --Turbidimetric, Total Protein",JGQ
Y02A50/30,"GENERAL TAGGING OF NEW TECHNOLOGICAL DEVELOPMENTS; GENERAL TAGGING OF CROSS-SECTIONAL TECHNOLOGIES SPANNING OVER SEVERAL SECTIONS OF THE IPC; TECHNICAL SUBJECTS COVERED BY FORMER USPC CROSS-REFERENCE ART COLLECTIONS [XRACs] AND DIGESTS-- TECHNOLOGIES OR APPLICATIONS FOR MITIGATION OR ADAPTATION AGAINST CLIMATE CHANGE-- TECHNOLOGIES FOR ADAPTATION TO CLIMATE CHANGE-- in human health protection, e.g. against extreme weather-- .Against vector-borne diseases, e.g. mosquito-borne, fly-borne, tick-borne or waterborne diseases whose impact is exacerbated by climate change","Total protein test system. --Turbidimetric, Total Protein",JGQ
A61K2300/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Mixtures or combinations of active ingredients, wherein at least one active ingredient is fully defined in groups A61K31/00-A61K41/00","Total protein test system. --Turbidimetric, Total Protein",JGQ
A61G7/057,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H3/00); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N1/00)-- Invalid beds or accessories; Treatment rooms for medical purposes; Accommodation for nursing; Beds specially adapted for nursing; Devices for lifting patients or disabled persons (stretchers with facilities for picking up patients or disabled persons A61G1/003)-- .Parts, details or accessories of beds (devices for prevention against falling out A47C21/08, A47D7/00{; mattresses A47C27/00})-- ..Arrangements for preventing bed-sores or for supporting patients with burns, e.g. mattresses specially adapted therefor {ventilation openings in mattresses A47C21/042; pneumatic or hydraulic mattresses A47C27/08}","Temperature regulated water mattress. --Mattress, Water, Temperature Regulated",FOH
A47C27/18,"HUMAN NECESSITIES-- PERSONAL OR DOMESTIC ARTICLES; WEARING APPAREL-- FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL-- CHAIRS (seats specially adapted for vehicles B60N2/00); SOFAS; BEDS (upholstery in general B68G)-- Sofas; Beds; Sofas; Couches; Beds (bedsteads A47C19/00; spring mattresses A47C23/00; divan bases A47C23/00; stuffed mattresses A47C27/00; beds with special provisions for nursing A61G7/00)-- Spring, stuffed or fluid mattresses {or cushions};  specially adapted for chairs, beds or sofas-- .with foamed material inlays-- ..in combination with inflatable bodies","Temperature regulated water mattress. --Mattress, Water, Temperature Regulated",FOH
A47C27/082,"HUMAN NECESSITIES-- PERSONAL OR DOMESTIC ARTICLES; WEARING APPAREL-- FURNITURE; DOMESTIC ARTICLES OR APPLIANCES; COFFEE MILLS; SPICE MILLS; SUCTION CLEANERS IN GENERAL-- CHAIRS (seats specially adapted for vehicles B60N2/00); SOFAS; BEDS (upholstery in general B68G)-- Sofas; Beds; Sofas; Couches; Beds (bedsteads A47C19/00; spring mattresses A47C23/00; divan bases A47C23/00; stuffed mattresses A47C27/00; beds with special provisions for nursing A61G7/00)-- Spring, stuffed or fluid mattresses {or cushions};  specially adapted for chairs, beds or sofas-- .Fluid mattresses {or cushions}; (connecting valves to inflatable elastic bodies B60C29/00)-- ..of pneumatic type-- ...with non-manual inflation, e.g. with electric pumps","Temperature regulated water mattress. --Mattress, Water, Temperature Regulated",FOH
A61K38/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J3/00; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L; soap compositions C11D)-- Medicinal preparations containing peptides (peptides containing beta-lactam rings A61K31/00; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, A61K31/00; ergot alkaloids of the cyclic peptide type A61K31/48; containing macromolecular compounds having statistically distributed amino acid units A61K31/74; medicinal preparations containing antigens or antibodies A61K39/00; medicinal preparations characterised by the non-active ingredients, e.g. peptides as drug carriers, A61K47/00)","Total protein test system. --Lowry (Colorimetric), Total Protein",JGP
C07K14/705,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- PEPTIDES (peptides in foodstuffs A23; obtaining protein compositions for foodstuffs, working-up proteins for foodstuffs A23J; preparations for medicinal purposes A61K; peptides containing beta-lactam rings C07D; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, C07D; ergot alkaloids of the cyclic peptide type C07D519/02; macromolecular compounds having statistically distributed amino acid units in their molecules, i.e. when the preparation does not provide for a specific; but for a random sequence of the amino acid units, homopolyamides and block copolyamides derived from amino acids C08G69/00; macromolecular products derived from proteins C08H1/00; preparation of glue or gelatine C09H; single cell proteins, enzymes C12N; genetic engineering processes for obtaining peptides C12N15/00; compositions for measuring or testing processes involving enzymes C12Q; investigation or analysis of biological material G01N33/00)-- Peptides having more than 20 amino acids; Gastrins; Somatostatins; Melanotropins; Derivatives thereof-- .from animals; from humans-- ..Receptors; Cell surface antigens; Cell surface determinants {tumour specific antigens C07K14/4748}","Total protein test system. --Lowry (Colorimetric), Total Protein",JGP
C07K14/47,"CHEMISTRY; METALLURGY-- CHEMISTRY; INORGANIC CHEMISTRY-- ORGANIC CHEMISTRY-- PEPTIDES (peptides in foodstuffs A23; obtaining protein compositions for foodstuffs, working-up proteins for foodstuffs A23J; preparations for medicinal purposes A61K; peptides containing beta-lactam rings C07D; cyclic dipeptides not having in their molecule any other peptide link than those which form their ring, e.g. piperazine-2,5-diones, C07D; ergot alkaloids of the cyclic peptide type C07D519/02; macromolecular compounds having statistically distributed amino acid units in their molecules, i.e. when the preparation does not provide for a specific; but for a random sequence of the amino acid units, homopolyamides and block copolyamides derived from amino acids C08G69/00; macromolecular products derived from proteins C08H1/00; preparation of glue or gelatine C09H; single cell proteins, enzymes C12N; genetic engineering processes for obtaining peptides C12N15/00; compositions for measuring or testing processes involving enzymes C12Q; investigation or analysis of biological material G01N33/00)-- Peptides having more than 20 amino acids; Gastrins; Somatostatins; Melanotropins; Derivatives thereof-- .from animals; from humans-- ..from vertebrates-- ...from mammals","Total protein test system. --Lowry (Colorimetric), Total Protein",JGP
A61M27/00,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Probes; Catheters; Dilators; Drainage appliances for wounds; Catheters; Hollow probes (dilators A61M29/00; {peritoneal catheters A61M1/285; tracheal tubes A61M16/04; for drainage A61M27/00; for uterus, vagina or rectum A61M31/00};  ; for measuring or testing A61B; {materials for catheters A61L29/00})-- Drainage appliance for wounds or the like {, i.e. wound drains, implanted drains}; (negative pressure wound therapy devices A61M1/90;;  implements for holding wound open A61B17/02{; middle ear drainage A61F11/202})","Gas collection vessel. --Gas, Collecting Vessel",KGK
A61B5/15003,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N33/48; obtaining records using waves other than optical waves, in general G03B42/00)-- Diagnosis; Psycho-physical tests; Instruments for performing medical examinations of the interior of cavities or tubes of the body by visual or photographical inspection, e.g. endoscopes (examination of body cavities or body tracts using ultrasonic, sonic or infrasonic waves A61B8/12; endoscopic instruments for taking cell samples or for biopsy A61B10/04; for surgical purposes A61B17/00; endoscopic surgical {cutting};  instruments {A61B17/32}; ; surgical instruments using a laser beam being directed along or through a flexible conduit A61B18/22); Illuminating arrangements therefor (for the eyes A61B3/00)-- Measuring for diagnostic purposes (radiation diagnosis A61B6/00; diagnosis by ultrasonic, sonic or infrasonic waves A61B8/00); Identification of persons-- .Devices for taking samples of blood (hypodermic syringes A61M5/178)-- ..Details-- ...Source of blood-- ....for venous or arterial blood","Gas collection vessel. --Gas, Collecting Vessel",KGK
A61M1/90,"HUMAN NECESSITIES-- HEALTH; AMUSEMENT; MEDICAL OR VETERINARY SCIENCE; HYGIENE-- DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021}-- Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)-- .Negative pressure wound therapy devices, i.e. devices for applying suction to a wound to promote healing, e.g. including a vacuum dressing","Gas collection vessel. --Gas, Collecting Vessel",KGK
